Year,Project Name,City,State,Utility,System Size (kW-AC),Year of Interconnection
2024,Spark 2 (SRC050356),Denver,CO,Public Service Co of Colorado,54.4,2018
2024,GRID CSG Standard 2 (SRC064251),Platteville,CO,Public Service Co of Colorado,74.98,2018
2024,Centennial I (SRC050355),Platteville,CO,Public Service Co of Colorado,75,2018
2024,Stanley Marketplace (SRC050354),Aurora,CO,Public Service Co of Colorado,76.92,2018
2024,Black Hills Energy Community Solar Project 2,Rocky Ford,CO,Black Hills Energy,381.54,2018
2024,"CEC Solar #1133, LLC (SRC042438)",Platteville,CO,Public Service Co of Colorado,1526.54,2018
2024,Black Hills Energy Community Solar Project 3,Ordway,CO,Black Hills Energy,1528.46,2018
2024,"CEC Solar #1128, LLC (SRC042364)",Sterling,CO,Public Service Co of Colorado,1528.62,2018
2024,"CEC Solar #1130, LLC (SRC042365)",Watkins,CO,Public Service Co of Colorado,1528.62,2018
2024,Imboden IV (SRC042452),Watkins,CO,Public Service Co of Colorado,1534.62,2018
2024,Greeley-Weld Airport (SRC053971),Greeley,CO,Public Service Co of Colorado,1536.23,2018
2024,Quincy Solar Garden (SRC042454),Watkins,CO,Public Service Co of Colorado,1538.08,2018
2024,Quincy II Solar Garden (SRC042456),Aurora,CO,Public Service Co of Colorado,1538.08,2018
2024,Imboden III (SRC042457),Watkins,CO,Public Service Co of Colorado,1538.08,2018
2024,Imboden II Solar Garden (SRC042458),Watkins,CO,Public Service Co of Colorado,1538.08,2018
2024,Gilcrest Solar Garden (SRC042459),Gilcrest,CO,Public Service Co of Colorado,1538.08,2018
2024,Hudson Solar Garden (SRC042462),Watkins,CO,Public Service Co of Colorado,1538.08,2018
2024,Imboden V (SRC042463),Watkins,CO,Public Service Co of Colorado,1538.08,2018
2024,Lafayette Horizon Solar CSG LLC (SRC053370),Lafayette,CO,Public Service Co of Colorado,1538.46,2018
2024,Spark 1 (SRC050353),Denver,CO,Public Service Co of Colorado,53.09,2019
2024,GHA Solar Garden (SRC050357),Parachute,CO,Public Service Co of Colorado,76.92,2019
2024,DU CSG 1 LLC (SRC053578),Watkins,CO,Public Service Co of Colorado,382.5,2019
2024,Denver SLB (SRC053579),Denver,CO,Public Service Co of Colorado,765,2019
2024,CO LI CSG 2 LLC (SRC064203),Watkins,CO,Public Service Co of Colorado,769.54,2019
2024,McCormick (SRC053974),Platteville,CO,Public Service Co of Colorado,910.77,2019
2024,Platteville Solar CSG LLC (SRC054664),Platteville,CO,Public Service Co of Colorado,1256.12,2019
2024,Linnebur (SRC053966),Watkins,CO,Public Service Co of Colorado,1500,2019
2024,Mesa CSG 1 LLC (SRC054194),Grand Junction,CO,Public Service Co of Colorado,1533.6,2019
2024,Mesa CSG 2 LLC (SRC053581),Palisade,CO,Public Service Co of Colorado,1534.5,2019
2024,Mtn Solar 2 (SRC067948),Watkins,CO,Public Service Co of Colorado,1534.5,2019
2024,Mtn Solar 1 (SRC067947),Watkins,CO,Public Service Co of Colorado,1534.5,2019
2024,CO LI CSG 1 LLC (SRC064202),Watkins,CO,Public Service Co of Colorado,1534.5,2019
2024,Alamosa01 (Wisecamp) (SRC053963),Alamosa,CO,Public Service Co of Colorado,1536.23,2019
2024,Lowry State Land Board (SRC053964),Watkins,CO,Public Service Co of Colorado,1536.23,2019
2024,Cameo01 (SRC053977),Palisade,CO,Public Service Co of Colorado,1536.23,2019
2024,Rifle (SRC053975),Rifle,CO,Public Service Co of Colorado,1536.23,2019
2024,Tebo01 (SRC053967),Watkins,CO,Public Service Co of Colorado,1536.23,2019
2024,Tebo02 (SRC053968),Watkins,CO,Public Service Co of Colorado,1536.23,2019
2024,Lantz (SRC053976),Salida,CO,Public Service Co of Colorado,1536.23,2019
2024,Anderson (SRC053973),Platteville,CO,Public Service Co of Colorado,1536.23,2019
2024,DIA 1 (SRC053965),Denver,CO,Public Service Co of Colorado,1536.23,2019
2024,DIA 2 (SRC053970),Denver,CO,Public Service Co of Colorado,1536.23,2019
2024,Alamosa South CSG (SRC055045),Alamosa,CO,Public Service Co of Colorado,1537.23,2019
2024,"Alden Solar CSG, LLC (SRC054663)",Greeley,CO,Public Service Co of Colorado,1560,2019
2024,Piceance Creek Solar Farm,Meeker,CO,"White River Electric Assn, Inc",5400,2019
2024,GRID Alternatives Colorado (SRC071109),Boulder,CO,Public Service Co of Colorado,483.32,2020
2024,Morrison (SRC054279),Morrison,CO,Public Service Co of Colorado,790,2020
2024,Ute Mountain Ute's Community Solar,Towaoc,CO,"Empire Electric Assn, Inc",900.31,2020
2024,Jack's Solar Garden (SRC071114),Longmont,CO,Public Service Co of Colorado,1000,2020
2024,Monte Vista Solar 2 CSG LLC (SRC053577),Monte Vista,CO,Public Service Co of Colorado,1500,2020
2024,Methven 1 (SRC068858),Watkins,CO,Public Service Co of Colorado,1500,2020
2024,Methven North (SRC071116),Watkins,CO,Public Service Co of Colorado,1500,2020
2024,HACP Phase 1,Pueblo,CO,Black Hills Energy,1535.56,2020
2024,Mtn Solar 3 (SRC067949),Brush,CO,Public Service Co of Colorado,1538.46,2020
2024,Rock Creek Solar 2 CSG LLC (SRC053585),Alamosa,CO,Public Service Co of Colorado,1560,2020
2024,Boulder FTC Community Solar (SRC077501),Boulder,CO,Public Service Co of Colorado,76.5,2021
2024,CO LI CSG 3 LLC (SRC064204),New Castle,CO,Public Service Co of Colorado,600,2021
2024,"NSE Camber Solar PS12, LLC (SRC075015)",Sterling,CO,Public Service Co of Colorado,720,2021
2024,Mtn Solar 5 (SRC067953),New Castle,CO,Public Service Co of Colorado,750,2021
2024,Mtn Solar 4 (SRC067952),Lakewood,CO,Public Service Co of Colorado,1500,2021
2024,Mtn Solar 6 (SRC068682),Sterling,CO,Public Service Co of Colorado,1500,2021
2024,Tebo 3 (SRC068857),Watkins,CO,Public Service Co of Colorado,1500,2021
2024,Carlson (SRC068869),Watkins,CO,Public Service Co of Colorado,1500,2021
2024,Rhonda (SRC068871),Watkins,CO,Public Service Co of Colorado,1500,2021
2024,NSE Camber Solar PS6 LLC (SRC074897),Platteville,CO,Public Service Co of Colorado,1500,2021
2024,NSE Camber Solar PS11 LLC (SRC075014),Sterling,CO,Public Service Co of Colorado,1500,2021
2024,NSE Camber Solar PS13 LLC (SRC075016),Sterling,CO,Public Service Co of Colorado,1500,2021
2024,Venture 1 - 1A (SRC075020),Aurora,CO,Public Service Co of Colorado,1500,2021
2024,Venture 3 - 1C (SRC075021),Aurora,CO,Public Service Co of Colorado,1500,2021
2024,Venture 4 - 1D (SRC075023),Aurora,CO,Public Service Co of Colorado,1500,2021
2024,Venture 2 - 1B (SRC075024),Aurora,CO,Public Service Co of Colorado,1500,2021
2024,Valmont CSG9 (SRC075070),Boulder,CO,Public Service Co of Colorado,1500,2021
2024,Valmont CSG10 (SRC075071),Boulder,CO,Public Service Co of Colorado,1500,2021
2024,Arapahoe CSG5 (SRC075114),Denver,CO,Public Service Co of Colorado,1500,2021
2024,GilcrestSun (SRC080107),Gilcrest,CO,Public Service Co of Colorado,1800,2021
2024,Vasquez V (SRC080108),Platteville,CO,Public Service Co of Colorado,4000,2021
2024,Gilcrest V (SRC080106),Platteville,CO,Public Service Co of Colorado,4750,2021
2024,Vestal PS15 Solar LLC (SRC080205),Brush,CO,Public Service Co of Colorado,750,2022
2024,Vestal PS1 Solar LLC (SRC074898),Parachute,CO,Public Service Co of Colorado,990.125,2022
2024,Vestal PS2 Solar LLC (SRC074899),Brush,CO,Public Service Co of Colorado,1500,2022
2024,NSE Camber Solar PS5 LLC (SRC074910),Platteville,CO,Public Service Co of Colorado,1500,2022
2024,UXI County Road 8319 LLC (SRC075022),Greeley,CO,Public Service Co of Colorado,1500,2022
2024,UXI County Road 8320 LLC (SRC075025),Greeley,CO,Public Service Co of Colorado,1500,2022
2024,Vestal PS14 Solar LLC (SRC075335),Brush,CO,Public Service Co of Colorado,1500,2022
2024,Vestal PS7 Solar LLC (SRC074911),Rifle,CO,Public Service Co of Colorado,1990.875,2022
2024,Vestal PS3 Solar LLC (SRC074906),Parachute,CO,Public Service Co of Colorado,1991.375,2022
2024,Vestal PS4 Solar LLC (SRC074909),Platteville,CO,Public Service Co of Colorado,1999.75,2022
2024,Vestal PS8 Solar LLC (SRC074912),Platteville,CO,Public Service Co of Colorado,1999.75,2022
2024,SRC083117,Johnstown,CO,Public Service Co of Colorado,5000,2023
2024,SRC083121,La Salle,CO,Public Service Co of Colorado,500,2023
2024,SRC083128,Denver,CO,Public Service Co of Colorado,220,2023
2024,SRC083135,Denver,CO,Public Service Co of Colorado,210,2023
2024,Town of Bloomfield Community Solar Program,Bloomfield,CT,Connecticut Light & Power Co (DBA EverSource),1538.46,2019
2024,Mississippi Ave,Washington,DC,Potomac Electric Power Co,23.19,2018
2024,Atlantic Terrace Apartments,Washington,DC,Potomac Electric Power Co,500.77,2018
2024,19th St,Washington,DC,Potomac Electric Power Co,47.42,2019
2024,Robinson Place A & B,Washington,DC,Potomac Electric Power Co,100,2020
2024,Oxon Run,Washington,DC,Potomac Electric Power Co,2044,2020
2024,Bruce A. Henry Solar Farm,Georgetown,DE,Delaware Electric Cooperative,4000,2013
2024,McKees Solar Park,Newark,DE,City of Newark - (DE),230,2014
2024,Marathon array,Marathon,FL,"Florida Keys El Coop Assn, Inc",74.31,2008
2024,Crawl Key array,Marathon,FL,"Florida Keys El Coop Assn, Inc",16.15,2009
2024,Gardenia Community Solar Farm,Orlando,FL,Orlando Utilities Comm,400,2013
2024,Hilliard Community Solar,Hilliard,FL,Okefenoke Rural El Member Corp,100,2016
2024,Osceola Solar Facility,Kenansville,FL,"Duke Energy Florida, LLC",4000,2016
2024,Perry Solar Facility,Perry,FL,"Duke Energy Florida, LLC",5000,2016
2024,Hardee County,Bowling Green,FL,Seminole Electric Cooperative Inc,2076.92,2017
2024,Suwanee Solar Facility,Live Oak,FL,"Duke Energy Florida, LLC",8800,2017
2024,Kenneth P. Ksionek Community Solar Farm,Orlando,FL,Orlando Utilities Comm,13000,2017
2024,CHELCO Colar Farm,Defuniak Springs,FL,"Choctawhatche Elec Coop, Inc",120,2018
2024,Tallahassee Airport I,Tallahassee,FL,City of Tallahassee - (FL),20000,2018
2024,Hamilton Solar Power Plant,Jasper,FL,"Duke Energy Florida, LLC",74900,2018
2024,Lake Hancock Solar plant,Bartow,FL,Tampa Electric Co,17500,2019
2024,Babcock Preserve Solar Energy Center,Fort Myers,FL,Florida Power & Light Co,74500,2020
2024,Blue Heron Solar Energy Center,Clewiston,FL,Florida Power & Light Co,74500,2020
2024,Cattle Ranch Solar Energy Center,Arcadia,FL,Florida Power & Light Co,74500,2020
2024,Northern Preserve Solar Energy Center,Glen St Mary,FL,Florida Power & Light Co,74500,2020
2024,Sweetbay Solar Energy Center,Indiantown,FL,Florida Power & Light Co,74500,2020
2024,Twin Lakes Solar Energy Center,Interlachen,FL,Florida Power & Light Co,74500,2020
2024,Lakeside,Okeechobee,FL,Florida Power & Light Co,74500,2021
2024,Trailside,St. Johns,FL,Florida Power & Light Co,74500,2021
2024,Union Springs,Union,FL,Florida Power & Light Co,74500,2021
2024,Egret,Baker,FL,Florida Power & Light Co,74500,2021
2024,Nassau,Nassau,FL,Florida Power & Light Co,74500,2021
2024,Pelican,St. Lucie,FL,Florida Power & Light Co,74500,2021
2024,Magnolia Springs,Clay,FL,Florida Power & Light Co,74500,2021
2024,Rodeo,DeSoto,FL,Florida Power & Light Co,74500,2021
2024,Palm Bay,Brevard,FL,Florida Power & Light Co,74500,2021
2024,Sabal Palm,Palm Beach,FL,Florida Power & Light Co,74500,2021
2024,Willow,Manatee,FL,Florida Power & Light Co,74500,2021
2024,Discovery,Brevard,FL,Florida Power & Light Co,74500,2021
2024,Orange Blossom,Indian River,FL,Florida Power & Light Co,74500,2021
2024,Fort Drum,Okeechobee,FL,Florida Power & Light Co,74500,2021
2024,FP&L Phase 2 Project 1,,FL,Florida Power & Light Co,74500,2023
2024,FP&L Phase 2 Project 2,,FL,Florida Power & Light Co,74500,2023
2024,FP&L Phase 2 Project 3,,FL,Florida Power & Light Co,74500,2023
2024,FP&L Phase 2 Project 4,,FL,Florida Power & Light Co,74500,2023
2024,FP&L Phase 2 Project 5,,FL,Florida Power & Light Co,74500,2023
2024,FP&L Phase 2 Project 6,,FL,Florida Power & Light Co,74500,2023
2024,Coastal - Liberty County,Midway,GA,Coastal Electric Member Corp,50,2015
2024,Walton I Cooperative Solar,Monroe,GA,Walton Electric Member Corp,1000,2015
2024,Hazlehurst I,Hazlehurst,GA,Green Power EMC (Oglethorpe Power Corporation),10370,2015
2024,Altamaha Cooperative Solar,Lyons,GA,Altamaha Electric Member Corp,39,2016
2024,Coastal Electric Coop Community Solar,Midway,GA,Coastal Electric Member Corp,48,2016
2024,Kingsland Community Solar,Kingsland,GA,Okefenoke Rural El Member Corp,100,2016
2024,Middle Georgia Community Solar,Vienna,GA,Middle Georgia El Member Corp,936,2016
2024,Satilla REMC Cooperative Solar,Alma,GA,Satilla Rural Elec Member Corporation,1000,2016
2024,Glynn County Community Solar,Brunswick,GA,Okefenoke Rural El Member Corp,1860,2016
2024,Walton II Cooperative Solar,Monroe,GA,Walton Electric Member Corp,2500,2016
2024,Snapping Shoals EMC Cooperative Solar,Covington,GA,Snapping Shoals El Member Corp,2700,2016
2024,Coastal - McIntosh County,Darien,GA,Coastal Electric Member Corp,72,2017
2024,Tri-County EMC ourSolar,Eatonton,GA,Tri-County Elec Member Corp,1000,2017
2024,GreyStone Solar Farm,Hiram,GA,GreyStone Power Corporation,1047.63,2017
2024,Walton III Cooperative Solar,Monroe,GA,Walton Electric Member Corp,3000,2017
2024,SR South Loving,Hazlehurst,GA,Green Power EMC (Oglethorpe Power Corporation),52000,2017
2024,Comer Community Solar,Comer,GA,Georgia Power Co,2000,2018
2024,Irwin EMC Cooperative Solar Field,Fitzgerald,GA,Irwin Electric Membership Corp,1000,2019
2024,Guyton Community Solar,Guyton,GA,Georgia Power Co,2400,2019
2024,Waynesboro Community Solar,Waynesboro,GA,Georgia Power Co,3600,2019
2024,Hazlehurst III,Hazlehurst,GA,Green Power EMC (Oglethorpe Power Corporation),17500,2019
2024,Terrell Solar,Dawson,GA,Green Power EMC (Oglethorpe Power Corporation),31500,2020
2024,ROIZ CBRE,Maui,HI,Hawaiian Electric,28.3,2020
2024,Mililani Tech Solar 1,Oahu,HI,Hawaiian Electric,270,2020
2024,FEC Community Solar Garden,Kalona,IA,Farmers Electric Coop - (IA),52.37,2011
2024,TMU Solar,Traer,IA,City of Traer - (IA),45.69,2013
2024,Renewable Rays - Cresco,Cresco,IA,MiEnergy Cooperative,19.04,2014
2024,Denison Cooperative Solar,Denison,IA,Western Iowa Power Coop,307.5,2015
2024,Heartland Community Solar,St. Ansgar,IA,Heartland Power Coop,655.68,2015
2024,Harrison County REC,Woodbine,IA,Harrison County REC,147,2016
2024,Sterler Community Solar Park,Sibley,IA,"Osceola Electric Coop, Inc",176.62,2016
2024,Onawa Cooperative Solar,Onawa,IA,Western Iowa Power Coop,270,2016
2024,Osage Municipal Utilities Voluntary Community Solar Program,Osage,IA,City of Osage - (IA),609.84,2016
2024,Simple Solar,Cedar Falls,IA,Cedar Falls Utilities,1503.69,2016
2024,ACEC SunSource,Postville,IA,"Allamakee-Clayton El Coop, Inc",121.85,2017
2024,Franklin Community Solar Garden,Hampton,IA,Franklin Rural Electric Coop - (IA),136.77,2017
2024,Coon Rapids Array,Coon Rapids,IA,Raccoon Valley Electric Cooperative,154.98,2017
2024,Prairie Energy Community Solar Program,Galt,IA,Prairie Energy Coop,160.09,2017
2024,Midland Power Community Solar,Iowa Falls,IA,Midland Power Coop,177.35,2017
2024,Kootenai Community Solar Project,Worley,ID,Kootenai Electric Cooperative,50,2017
2024,Northern Lights Community Solar,Sagle,ID,"Northern Lights, Inc",50,2017
2024,South View Solar Farm,Elizabeth,IL,"Jo-Carroll Energy, Inc",100,2014
2024,Shelby Solar Farm,Shelbyville,IL,"Prairie Power, Inc",500,2015
2024,Spoon River Solar Farm,Astoria,IL,"Prairie Power, Inc",500,2015
2024,Co-op Solar,Paris,IL,"Wabash Valley Power Assn, Inc",540,2017
2024,mySolar,Springfield,IL,City of Springfield - (IL),250,2019
2024,Application ID: 1066,Elgin,IL,Commonwealth Edison Co,900,2019
2024,Rainy Community Solar project,Elgin,IL,Commonwealth Edison Co,1180,2019
2024,NEM Lineage,University Parl,IL,Commonwealth Edison Co,1625,2019
2024,Keller,Carterville,IL,Commonwealth Edison Co,650,2020
2024,Apple Canyon Lake Solar Farm,Apple River,IL,Ameren Illinois Company,1162,2020
2024,Brewster CS,Stockton,IL,Commonwealth Edison Co,1850,2020
2024,Alden Road ? McHenry,Harvard,IL,Commonwealth Edison Co,1950,2020
2024,Payne Lena,Lena,IL,Commonwealth Edison Co,1980,2020
2024,Ridge Farm 1,Ridge Farm,IL,Ameren Illinois Company,2000,2020
2024,Boone,Poplar Grove,IL,Commonwealth Edison Co,2000,2020
2024,"Marlow Solar, LLC",Bluford,IL,Ameren Illinois Company,2000,2020
2024,Lily Lake CSG 2,Maple Park,IL,Commonwealth Edison Co,2000,2020
2024,Kent,Kent,IL,Commonwealth Edison Co,2000,2020
2024,2662 IL Route 26N ? Stephenson,Freeport,IL,Commonwealth Edison Co,2000,2020
2024,Griggs PV I,Grant Park,IL,Commonwealth Edison Co,2000,2020
2024,Blue Goose Road ? Whiteside,Morrison,IL,Commonwealth Edison Co,2000,2020
2024,IL_Kankakee_Yonke Farms,Kankakee,IL,Commonwealth Edison Co,2000,2020
2024,IL_McHenry_Franks (Marengo),Marengo,IL,Commonwealth Edison Co,2000,2020
2024,IL_McHenry_Franks II,Huntley,IL,Commonwealth Edison Co,2000,2020
2024,Marengo 2,Marengo,IL,Commonwealth Edison Co,2000,2020
2024,Mt. Morris 2,Polo,IL,Commonwealth Edison Co,2000,2020
2024,"Mendota US Solar 1, LLC",Mendota,IL,Commonwealth Edison Co,2000,2020
2024,Fulton 1(b),Farmington,IL,Ameren Illinois Company,2000,2020
2024,Kankakee Solar 4 LLC,Kankakee,IL,Commonwealth Edison Co,2000,2020
2024,Whiteside Solar 1 LLC,Fulton,IL,Commonwealth Edison Co,2000,2020
2024,Clinton Solar 4 LLC,Carlyle,IL,Commonwealth Edison Co,2000,2020
2024,Speedway East Central CS,Joliet,IL,Commonwealth Edison Co,2000,2020
2024,Iroquois Solar 1b LLC,Watseka,IL,Ameren Illinois Company,2000,2020
2024,McDonough Solar 1 LLC,Blandinsville,IL,Ameren Illinois Company,2000,2020
2024,McDonough Solar 1b LLC,Blandinsville,IL,Ameren Illinois Company,2000,2020
2024,Morgan Solar 2 LLC,Murrayville,IL,Ameren Illinois Company,2000,2020
2024,Morgan Solar 4 LLC,Murrayville,IL,Commonwealth Edison Co,2000,2020
2024,Vermilion Solar 1 LLC,Danville,IL,Commonwealth Edison Co,2000,2020
2024,Sullivan B,Macomb,IL,Ameren Illinois Company,2000,2020
2024,Schulte CSG 2,Lacon,IL,Ameren Illinois Company,2000,2020
2024,Application ID: 3599,Rockford,IL,Commonwealth Edison Co,900,2021
2024,705 E Goodenow Road ? Will East,Beecher,IL,Commonwealth Edison Co,1950,2021
2024,Somonauk Road Solar I ? 06344,Somonauk,IL,Commonwealth Edison Co,1950,2021
