City,State,lat,lng
Perry,FL,30.1115662,-83.5821063
Bowling Green,FL,27.6383673,-81.8239717
Live Oak,FL,30.2949457,-82.98402
Defuniak Springs,FL,30.7210227,-86.1152184
Tallahassee,FL,30.4381828,-84.2806235
Jasper,FL,30.5182727,-82.94819
Bartow,FL,27.8964147,-81.8431374
Fort Myers,FL,26.640628,-81.8723084
Clewiston,FL,26.7542312,-80.9336753
Arcadia,FL,27.2158826,-81.8584164
Glen St Mary,FL,30.2757837,-82.1615179
Indiantown,FL,27.0272756,-80.4856083
Interlachen,FL,29.6238574,-81.8903684
Okeechobee,FL,27.2439349,-80.8297828
St. Johns,FL,30.0820653,-81.5471201
Union,FL,30.0745112,-82.345189
Baker,FL,30.7971318,-86.681344
Nassau,FL,30.5927334,-81.8224362
St. Lucie,FL,27.499208,-80.3421984
Clay,FL,29.9943564,-81.7787021
DeSoto,FL,27.2142078,-81.7787021
Brevard,FL,28.263933,-80.7214417
Palm Beach,FL,26.7056206,-80.0364297
Manatee,FL,27.4799195,-82.345189
Indian River,FL,27.6947732,-80.543845
Midway,GA,31.8053848,-81.4306953
Monroe,GA,33.7948364,-83.713229
Hazlehurst,GA,31.8696309,-82.5943026
Lyons,GA,32.2043546,-82.321791
Kingsland,GA,30.7999563,-81.6898261
Vienna,GA,32.0915577,-83.7954518
Alma,GA,31.5393701,-82.4623557
Brunswick,GA,31.1510919,-81.4878157
Covington,GA,33.5967815,-83.8601827
Darien,GA,31.3702255,-81.4339903
Eatonton,GA,33.3267997,-83.3884961
Hiram,GA,33.8756601,-84.7621592
Comer,GA,34.0637227,-83.1254261
Fitzgerald,GA,31.7149082,-83.2526545
Guyton,GA,32.3421597,-81.3921781
Waynesboro,GA,33.0898731,-82.0156736
Dawson,GA,31.7735001,-84.4465826
Maui,HI,20.7983626,-156.3319253
Oahu,HI,21.4389123,-158.0000565
Kalona,IA,41.4830723,-91.7060015
Traer,IA,42.1936007,-92.4654688
Cresco,IA,43.3813568,-92.1140547
Denison,IA,42.024988,-95.3588867
St. Ansgar,IA,43.3784811,-92.9203887
Woodbine,IA,41.7370447,-95.7020596
Sibley,IA,43.3999861,-95.7516395
Onawa,IA,42.0266548,-96.0972376
Osage,IA,43.2841382,-92.8190838
Cedar Falls,IA,42.5348993,-92.4453161
Postville,IA,43.084702,-91.5682015
Hampton,IA,42.7425009,-93.2103402
Coon Rapids,IA,41.8708192,-94.6774786
Galt,IA,42.693076,-93.6055899
Iowa Falls,IA,42.5198868,-93.2645741
Worley,ID,47.400736,-116.9171246
Sagle,ID,48.2031124,-116.5655585
Elizabeth,IL,42.3177911,-90.221517
Shelbyville,IL,39.4064284,-88.7900689
Astoria,IL,40.227545,-90.3595683
Paris,IL,39.611146,-87.6961374
Springfield,IL,39.7817213,-89.6501481
Elgin,IL,42.0354084,-88.2825668
University Parl,IL,41.4400344,-87.6833769
Carterville,IL,37.7600501,-89.0772991
Apple River,IL,42.5050054,-90.0987361
Stockton,IL,42.3497355,-90.0067916
Harvard,IL,42.422241,-88.6137101
Lena,IL,42.3794586,-89.8223426
Ridge Farm,IL,39.8955918,-87.6519669
Poplar Grove,IL,42.3683521,-88.822047
Bluford,IL,38.3259938,-88.7438718
Maple Park,IL,41.9075282,-88.5992494
Kent,IL,42.3086275,-89.9020667
Freeport,IL,42.2966861,-89.6212271
Grant Park,IL,41.2411449,-87.6461491
Morrison,IL,41.809751,-89.9651186
Kankakee,IL,41.1200325,-87.8611531
Marengo,IL,42.2486332,-88.6084269
Huntley,IL,42.1680796,-88.4281415
Polo,IL,41.986141,-89.5792782
Mendota,IL,41.5472547,-89.1175851
Farmington,IL,40.6980932,-90.0059483
Fulton,IL,41.8672508,-90.1595705
Carlyle,IL,38.6103264,-89.3725796
Joliet,IL,41.525031,-88.0817251
Watseka,IL,40.7761465,-87.7364218
Blandinsville,IL,40.556152,-90.8659692
Murrayville,IL,39.5856024,-90.2520645
Danville,IL,40.124481,-87.6300207
Macomb,IL,40.4592076,-90.6717971
Lacon,IL,41.0247583,-89.4112007
Rockford,IL,42.2711311,-89.0939952
Beecher,IL,41.34059,-87.6214286
Somonauk,IL,41.6337127,-88.6810594
Woodstock,IL,42.3147436,-88.4487021
Paw Paw,IL,41.688919,-88.9811986
Pontiac,IL,40.8808666,-88.6297839
Louisville,IL,38.772269,-88.5025485
Belvidere,IL,42.2639098,-88.8442674
Granville,IL,41.2581956,-89.2277026
Centralia,IL,38.5285169,-89.1316944
Olney,IL,38.7308811,-88.0853154
Edwardsville,IL,38.8114364,-89.953157
Cortland,IL,41.9200288,-88.6886963
Sidney,IL,40.0250332,-88.0733729
Edelstein,IL,40.9406616,-89.6343701
St. Anne,IL,41.0229518,-87.7181619
Cherry Valley,IL,42.2347434,-88.9489912
Sandwich,IL,41.6458634,-88.6217432
Manteno Township,IL,41.2405004,-87.8353278
Palmyra,IL,39.4347699,-89.9959401
Crete,IL,41.4444791,-87.6314312
DeKalb,IL,41.9295355,-88.7499128
Gardner,IL,41.1855879,-88.3097827
Lyndon,IL,41.7175302,-89.9259481
Mt Morris,IL,42.0503062,-89.4312201
Braidwood,IL,41.2650318,-88.2122823
Standard City,IL,39.3522723,-89.7875959
Streator,IL,41.1208668,-88.835352
Rock Falls,IL,41.7797533,-89.6889967
Downs,IL,40.39698,-88.8706291
Meredosia,IL,39.8311579,-90.5595708
Lee,IL,41.7950293,-88.9414786
Herrin,IL,37.8031056,-89.0275744
West Frankfort,IL,37.8985966,-88.9233622
Wempletown,IL,42.343351,-89.2042766
Wichert,IL,41.0572552,-87.704203
Bartonville,IL,40.6503158,-89.6520455
Bourbonnais,IL,41.1760108,-87.879523
Burlington,IL,42.0528038,-88.5481412
Prophetstown,IL,41.6714198,-89.9362249
Kirkland,IL,42.0925258,-88.8512063
Orangeville,IL,42.4683453,-89.6440073
Glenwood,IL,41.5425349,-87.6022658
Morris,IL,41.357254,-88.4211785
Oregon,IL,42.0147513,-89.3323279
Bonfield,IL,41.1466986,-88.0578276
Sycamore,IL,41.9889173,-88.6867538
Deer Creek,IL,40.6300374,-89.3325885
Pekin,IL,40.5675388,-89.640658
Elwood,IL,41.4039201,-88.1117242
Williamsfield,IL,40.9225373,-90.0145584
Tonica,IL,41.2158684,-89.0667488
Lostant,IL,41.142812,-89.0600817
Tremont,IL,40.5275392,-89.4925979
San Jose,IL,40.305598,-89.6028829
Marine,IL,38.7864361,-89.7775939
Columbia City,IN,41.1572686,-85.4883127
Linden,IN,40.1880944,-86.9038959
Wanatah,IN,41.4305964,-86.898358
New Castle,IN,39.928935,-85.3702476
Lanesville,IN,38.2370131,-85.9858008
Scotland,IN,38.9128,-86.9039
Greenfield,IN,39.785043,-85.7694226
New Haven,IN,41.0706042,-85.0144124
Henryville,IN,38.5417282,-85.7677438
Ellettsville,IN,39.2339348,-86.6250008
Trafalgar,IN,39.4161604,-86.150823
Prestwick,IN,39.7502,-86.43411
Peru,IN,40.7536528,-86.0688811
Mitchell,IN,38.7328304,-86.4736019
Columbus,IN,39.2014404,-85.9213796
Kokomo,IN,40.486427,-86.1336033
Geneva,IN,46.2043907,-86.1431577
LaOtto,IN,41.2906243,-85.1979857
Colby,KS,39.3958369,-101.0523773
Kansas City,KS,39.1155314,-94.6267873
South Hutchinson,KS,38.0280671,-97.9403303
Berea,KY,37.568694,-84.2963223
Winchester,KY,37.990079,-84.1796503
Simpsonville,KY,38.22257,-85.3552349
Harrodsburg,KY,37.762298,-84.8432852
Brewster,MA,41.7600902,-70.0827905
Harvard,MA,42.5000919,-71.5828444
Rehoboth,MA,41.8470056,-71.2393933
Hadley,MA,42.3417565,-72.5884222
Cambridge,MA,42.3736158,-71.1097335
Holliston,MA,42.2000966,-71.4245049
Marion,MA,41.697719,-70.7525299
Freetown,MA,41.7619708,-71.014118
Bourne,MA,41.7412773,-70.5989325
Warren,MA,42.2125423,-72.191185
Adams,MA,42.6242251,-73.1174344
Hancock,MA,42.543138,-73.3237182
Mattapoisett,MA,41.6616323,-70.8150742
Boston,MA,42.3600825,-71.0588801
Mashpee,MA,41.647872,-70.4819674
Spencer,MA,42.2439682,-71.9922867
Uxbridge,MA,42.0772429,-71.6302532
Oxford,MA,42.1167606,-71.8647577
Fairhaven,MA,41.6376043,-70.9036487
Belchertown,MA,42.2770346,-72.4008884
Plympton,MA,41.9558953,-70.8148435
Pepperell,MA,42.6659232,-71.5884363
Wareham,MA,41.7614511,-70.7197342
Westport,MA,41.5700183,-71.0735476
West Boylston,MA,42.3667589,-71.785627
Sutton,MA,42.1500353,-71.7632878
Carver,MA,41.8834363,-70.7625376
Bolton,MA,42.4334258,-71.6078449
Gloucester,MA,42.6159285,-70.6619888
Littleton,MA,42.5372893,-71.5128022
Hopkinton,MA,42.2286954,-71.5225646
Rochester,MA,41.7549658,-70.8452677
Sandwich,MA,41.7589615,-70.4939317
Dudley,MA,42.0433661,-71.9276033
Canton,MA,42.1584324,-71.1447732
Hardwick,MA,42.3490548,-72.1986558
Southbridge,MA,42.0751065,-72.0333905
New Braintree,MA,42.3167581,-72.1259114
Millbury,MA,42.1920719,-71.761522
Fitchburg,MA,42.5834228,-71.8022955
Kingston,MA,41.9932752,-70.7284785
Webster,MA,42.050091,-71.8800628
Orange,MA,42.590354,-72.3097914
Shirley,MA,42.5437035,-71.6495176
Sturbridge,MA,42.1084122,-72.0787059
Goshen,MA,42.4407187,-72.7993986
Plymouth,MA,41.9584457,-70.6672621
Leominster,MA,42.5250906,-71.759794
North Brookfield,MA,42.2685574,-72.08504
Upton,MA,42.1744878,-71.6022583
Rutland,MA,42.3695086,-71.9481211
Mendon,MA,42.1056525,-71.5522859
Hubbardston,MA,42.4737009,-72.0061877
Phillipston,MA,42.5486993,-72.1328582
Clarksburg,MA,42.7170314,-73.092685
North Adams,MA,42.700915,-73.1087148
Williamsburg,MA,42.3928305,-72.7300929
Grafton,MA,42.2070391,-71.6856236
Wilmington,MA,42.5481714,-71.1724467
Leicester,MA,42.245926,-71.9086843
Charlton,MA,42.13565,-71.970074
Swansea,MA,41.748162,-71.1895617
Hopedale,MA,42.1306357,-71.5412077
Ludlow,MA,42.1600936,-72.475919
Haverhill,MA,42.7762015,-71.0772796
Pittsfield,MA,42.4500845,-73.2453824
Norton,MA,41.9667703,-71.1869963
Dover,MA,42.2458749,-71.2828719
West Brookfield,MA,42.2353463,-72.1411642
West Bridgewater,MA,42.0189894,-71.0078215
Newbury,MA,42.7649497,-70.8714528
Hatfield,MA,42.3732554,-72.5963431
Monson,MA,42.1042451,-72.3189519
Foxborough,MA,42.0653812,-71.2478251
Hinsdale,MA,42.4386967,-73.1253799
Gill,MA,42.6408105,-72.4996367
Holyoke,MA,42.2042586,-72.6162009
Somerville,MA,42.3875968,-71.0994968
East Bridgewater,MA,42.0334341,-70.9592096
Marlborough,MA,42.3459271,-71.5522874
Middleborough,MA,41.8929942,-70.9107708
Lowell,MA,42.6334247,-71.3161718
Barre,MA,42.4229047,-72.1051002
Westminster,MA,42.5459227,-71.9106308
Acushnet,MA,41.7223696,-70.8952337
Millis,MA,42.1669661,-71.351738
Sterling,MA,42.4374156,-71.7606293
Wendell,MA,42.5481852,-72.396722
Braintree,MA,42.2079017,-71.0040013
Southwick,MA,42.0548167,-72.7703724
Lakeville,MA,41.8459169,-70.9495226
Shrewsbury,MA,42.2959267,-71.7128471
Middleton,MA,42.5950939,-71.0161643
Becket,MA,42.3319904,-73.0829366
Natick,MA,42.2775281,-71.3468091
Milton,MA,42.2495321,-71.0661653
Melrose,MA,42.4547874,-71.06547
Framingham,MA,42.279286,-71.4161565
New Bedford,MA,41.6362152,-70.934205
Chatham,MA,41.6820897,-69.9597664
Everett,MA,42.40843,-71.0536625
Springfield,MA,42.1014831,-72.589811
Walpole,MA,42.1470851,-71.2517835
Easton,MA,42.0245442,-71.1286594
Chelmsford,MA,42.5998139,-71.3672838
Ashland,MA,42.2612067,-71.4633956
Winchendon,MA,42.6871009,-72.0439529
Plainfield,MA,42.5153633,-72.9162075
Raynham,MA,41.9487077,-71.0731162
Amherst,MA,42.3732216,-72.5198537
Westfield,MA,42.1250929,-72.749538
Boxborough,MA,42.4834197,-71.5167139
Northampton,MA,42.3250896,-72.6412013
Athol,MA,42.5959329,-72.2267383
Blandford,MA,42.1806463,-72.9273224
Halifax,MA,41.991213,-70.861985
Plainville,MA,42.0042655,-71.3328331
Seekonk,MA,41.808434,-71.3369972
Winchester,MA,42.452303,-71.1369959
Stoughton,MA,42.1229099,-71.1092012
Orleans,MA,41.7898354,-69.9897323
Dennis,MA,41.7353062,-70.1939429
Methuen,MA,42.7262016,-71.1908924
Acton,MA,42.4850931,-71.43284
East Longmeadow,MA,42.0645396,-72.5125863
Medway,MA,42.1417641,-71.3967256
Lexington,MA,42.4473497,-71.2271531
Hanover,MA,42.1162217,-70.8476708
Tyngsborough,MA,42.6766696,-71.4244224
Palmer,MA,42.1584103,-72.3286869
Ayer,MA,42.5611947,-71.5899054
Bridgewater,MA,41.9903519,-70.9750541
Erving,MA,42.6000863,-72.3981416
Lancaster,MA,42.4556452,-71.6731242
Deerfield,MA,42.5445588,-72.6056435
East Brookfield,MA,42.2266927,-72.046446
Wilbraham,MA,42.1237206,-72.431586
Ware,MA,42.2598457,-72.2398566
Wales,MA,42.0695393,-72.2223007
Easthampton,MA,42.266757,-72.66898
Dighton,MA,41.843859,-71.1567344
Russell,MA,42.189861,-72.8591256
Peru,MA,42.4381417,-73.0459339
Beverly,MA,42.5584283,-70.880049
Attleboro,MA,41.9445441,-71.2856082
Shutesbury,MA,42.4564779,-72.4098077
Dunstable,MA,42.6750898,-71.4828433
Agawam,MA,42.0695391,-72.6148117
Westhampton,MA,42.3028667,-72.7745382
Tolland,MA,42.0813879,-73.0118668
Gardner,MA,42.5750883,-71.998133
Lunenburg,MA,42.5945273,-71.7245035
West Tisbury,MA,41.3812245,-70.6744723
Newton,MA,42.3370413,-71.2092214
Brockton,MA,42.0834335,-71.0183787
Worcester,MA,42.2625932,-71.8022934
Sheffield,MA,42.1099885,-73.3551436
Woburn,MA,42.4792618,-71.1522765
Waltham,MA,42.3764852,-71.2356113
Westborough,MA,42.2695216,-71.6161294
Falmouth,MA,41.5532208,-70.6085886
Brimfield,MA,42.1225482,-72.2005059
Cheshire,MA,42.5620278,-73.162881
Oakham,MA,42.3527105,-72.0449783
Great Barrington,MA,42.1959798,-73.362008
Charlemont,MA,42.627862,-72.8698183
Granby,MA,42.2570866,-72.5168859
Brookfield,MA,42.2139817,-72.1022991
Barnstable,MA,41.7003208,-70.3002024
Bellingham,MA,42.0867608,-71.4745881
Conway,MA,42.5098085,-72.6995349
Dalton,MA,42.4736959,-73.1662138
New Marlborough,MA,42.1111825,-73.2529464
Berlin,MA,42.3812039,-71.6370121
Northbridge,MA,42.1516323,-71.6494407
Maynard,MA,42.4334903,-71.4495058
Stoneham,MA,42.4816758,-71.1001891
Dartmouth,MA,41.6130323,-70.9704787
Bernardston,MA,42.6710048,-72.5483277
Tewksbury,MA,42.6106478,-71.2342248
Pembroke,MA,42.0714925,-70.8092
Lanesborough,MA,42.5173058,-73.2281596
Blackstone,MA,42.0418415,-71.536786
Hampden,MA,42.0639841,-72.4134167
Granville,MA,42.0996545,-72.9224329
Auburn,MA,42.1945385,-71.8356271
Douglas,MA,42.0543449,-71.739379
Franklin,MA,42.0834313,-71.396725
University Park,MD,38.9703884,-76.941919
Greenbelt,MD,39.0045544,-76.8755282
Baltimore,MD,39.2903848,-76.6121893
Upper Marlboro,MD,38.8159473,-76.7496909
Fort Washington,MD,38.7073379,-77.0230313
Snow Hill,MD,38.1770634,-75.3926959
Smithsburg,MD,39.6548186,-77.5727681
Oxon Hill,MD,38.8033178,-76.9897278
Windsor Mill,MD,39.3326927,-76.7595659
Clinton,MD,38.7651145,-76.8983059
Union Bridge,MD,39.5689895,-77.176927
Flintstone,MD,39.7035249,-78.5698598
Cheltenham,MD,38.7344244,-76.8276657
Chester,MD,38.9753903,-76.2893991
Kingsville,MD,39.4487185,-76.4177396
Williamsport,MD,39.6006523,-77.8205508
Hillcrest Heights,MD,38.8328909,-76.9594189
Silver Spring,MD,38.9906657,-77.026088
Elkridge,MD,39.1978788,-76.7625073
White Marsh,MD,39.3794196,-76.4599043
Elkton,MD,39.6067789,-75.8332718
Prince Georges,MD,38.7849211,-76.8720961
Hanover,MD,39.1955042,-76.7228227
Reisterstown,MD,39.4695489,-76.8294213
East New Market,MD,38.5989423,-75.9256287
Bowie,MD,39.0067768,-76.7791365
Accident,MD,39.628696,-79.319759
Hancock,MD,39.7000024,-78.1863789
Hagerstown,MD,39.6417629,-77.7199932
Friendsville,MD,39.6636933,-79.4053167
Lothian,MD,38.8317815,-76.611351
Jessup,MD,39.1492746,-76.7752493
Tracys Landing,MD,38.7801162,-76.5957937
Halethorpe,MD,39.2401735,-76.6806441
Marriottsville,MD,39.3491115,-76.8996474
Columbia,MD,39.2037144,-76.8610462
Hampstead,MD,39.6048253,-76.8499774
Gaithersburg,MD,39.1439689,-77.2016062
Edgewood,MD,39.4187194,-76.2944016
Hunt Valley,MD,39.4900013,-76.6585074
Brandywine,MD,38.6967833,-76.8477485
Freeland,MD,39.7048259,-76.6838605
Sykesville,MD,39.3737149,-76.9677566
Spencerville,MD,39.1145558,-76.9795532
Annandale,MD,39.3234378,-76.9747004
Oakland,MD,39.4078747,-79.4067116
Frederick,MD,39.4142688,-77.4105409
District Heights,MD,38.8576128,-76.8894171
Essex,MD,39.3092743,-76.474962
Middletown,MD,39.4437123,-77.5447102
Stoney Run,MD,38.2159592,-76.4885648
Westminster,MD,39.5753791,-76.9958149
Belcamp,MD,39.4737199,-76.2413446
Cambridge,MD,38.5632868,-76.0785791
Temple Hills,MD,38.8140024,-76.9455296
Rosedale,MD,39.3201074,-76.5155191
West Friendship,MD,39.3048811,-76.9530598
Woodsboro,MD,39.5331563,-77.314706
Glen Burnie,MD,39.1626084,-76.6246886
South Paris,ME,44.223681,-70.5133929
Edgecomb,ME,43.9584129,-69.630602
Wiscasset,ME,44.0028921,-69.665583
Wayne,ME,44.3486793,-70.0661649
Bar Harbor,ME,44.3876119,-68.2039123
Lisbon,ME,44.0316013,-70.1043704
Brunswick,ME,43.9140162,-69.9669961
Freeport,ME,43.8570065,-70.1031201
Rockland,ME,44.1036914,-69.1089293
South China,ME,44.3949791,-69.5709229
Damariscotta,ME,44.0328765,-69.5188884
Monson,ME,45.2869936,-69.5011619
Baldwin,ME,43.8331978,-70.7781172
Gardiner,ME,44.2300698,-69.7753222
Berwick,ME,43.2683199,-70.8635506
Rumford,ME,44.5536606,-70.5508829
Belfast,ME,44.4259092,-69.0064234
China,ME,44.4786791,-69.5172641
Grawn,MI,44.6634149,-85.6923204
Portland,MI,42.8672048,-84.9100792
Kalamazoo,MI,42.2917069,-85.5872286
Cadillac,MI,44.2519526,-85.4011619
Allendale,MI,42.9721934,-85.9540407
Marquette,MI,46.5436199,-87.3953713
Cassopolis,MI,41.9117133,-86.0100068
L'Anse,MI,46.7565991,-88.4529085
East Lansing,MI,42.7369792,-84.4838654
Escanaba,MI,45.7452466,-87.0645801
Rockford,MN,45.0872861,-93.7415093
Lutsen,MN,47.6469402,-90.6748026
Pelican Rapids,MN,46.5707924,-96.0831124
Rushford,MN,43.8109804,-91.7490143
Ramsey,MN,45.2611,-93.45
St. Joseph,MN,45.5647724,-94.317966
Alexandria,MN,45.8848164,-95.3776663
Bigfork,MN,47.7443867,-93.6540847
Glencoe,MN,44.7690437,-94.1517524
Park Rapids,MN,46.9221813,-95.0586322
Moorhead,MN,46.8737648,-96.7678039
Kasota,MN,44.2911734,-93.9664299
Owatonna,MN,44.0879297,-93.2260184
Minneapolis,MN,44.977753,-93.2650108
Litchfield,MN,45.1258332,-94.5283333
Spicer,MN,45.2330198,-94.9400088
St. Paul,MN,44.9537029,-93.0899578
Tyler,MN,44.2762658,-96.1352371
Shakopee,MN,44.7973962,-93.5272861
Taylors Falls,MN,45.4019062,-92.6524292
Norwood Young America,MN,44.7735732,-93.9216348
Farmington,MN,44.6402434,-93.1435497
Northfield,MN,44.4582983,-93.161604
Rosemount,MN,44.7394103,-93.1257723
North Branch,MN,45.5102135,-92.9931054
Two Harbors,MN,47.0227111,-91.6707322
Detroit Lakes,MN,46.8171808,-95.8453253
Brainerd,MN,46.3526733,-94.2020084
Scandia,MN,45.2535777,-92.8057669
Bemidji,MN,47.471573,-94.8826861
Medina,MN,45.0352411,-93.5824586
Lamberton,MN,44.2310676,-95.2641639
Backus,MN,46.8202373,-94.5163876
Lake Crystal,MN,44.1049223,-94.2185569
Minnesota City,MN,44.0938521,-91.7495959
Elgin,MN,44.1302435,-92.2515588
New Prague,MN,44.5432966,-93.5760652
Edgerton,MN,43.8724681,-96.1286369
Foley,MN,45.6646892,-93.9097009
Maynard,MN,44.9075318,-95.4676389
Brooten,MN,45.5008614,-95.1247422
Lake Lillian,MN,44.9435732,-94.8799994
Granite Falls,MN,44.8099575,-95.5455752
Cold Spring,MN,45.4536111,-94.4277778
Winsted,MN,44.9638517,-94.0474725
Hector,MN,44.7440364,-94.7152067
Mapleton,MN,43.9288511,-93.9560643
Morgan,MN,44.4169049,-94.9255465
Jordan,MN,44.6711949,-93.6294286
Sartell,MN,45.6216318,-94.2069365
Wabasha,MN,44.3754518,-92.0236059
Waseca,MN,44.0770411,-93.5083843
Center City,MN,45.3938525,-92.8166023
Claremont,MN,44.0442876,-92.9978784
Freeport,MN,45.6627427,-94.6900104
Pine Island,MN,44.2013537,-92.6462999
Watertown,MN,44.9635738,-93.847189
Young America,MN,44.7809286,-93.9129135
Red Wing,MN,44.5660691,-92.5369563
Lester Prairie,MN,44.8838514,-94.0416389
Montrose,MN,45.0694444,-93.9125
Sauk Rapids,MN,45.5919097,-94.1661011
Big Lake,MN,45.3325319,-93.7419723
Pipestone,MN,43.9985815,-96.3128117
Kasson,MN,44.0295675,-92.7509042
Corcoran,MN,45.0952417,-93.5474577
Waverly,MN,45.0643283,-93.9679204
Byron,MN,44.0327417,-92.6454624
Eagle Lake,MN,44.1639381,-93.8813245
Paynesville,MN,45.3768459,-94.7236488
Courtland,MN,44.2682979,-94.3402456
Richmond,MN,45.454111,-94.5199894
Glenwood,MN,45.6502392,-95.3900419
Webster,MN,44.529686,-93.352723
Barnesville,MN,46.6533237,-96.4200126
Duluth,MN,46.7866719,-92.1004852
Zumbrota,MN,44.294132,-92.6690806
Butterfield,MN,43.9582903,-94.7947044
Edina,MN,44.8896866,-93.3499489
Cottage Grove,MN,44.8277446,-92.9438218
Eagan,MN,44.8041322,-93.1668858
Kenyon,MN,44.2721868,-92.985484
Cokato,MN,45.0777389,-94.1900879
New Germany,MN,44.8841291,-93.9705254
Slayton,MN,43.9877419,-95.7558464
Goodhue,MN,44.4005221,-92.6238028
New Richland,MN,43.8944047,-93.4918842
Buffalo Lake,MN,44.7371841,-94.6169333
Janesville,MN,44.1161857,-93.7077397
Morristown,MN,44.2271852,-93.4446652
Lindstrom,MN,45.3894083,-92.8479921
Renville,MN,44.7891264,-95.2116731
Prinsburg,MN,44.9338496,-95.1875089
Hadley,MN,44.001076,-95.853905
Wrenshall,MN,46.6166577,-92.3853613
Clara City,MN,44.9555652,-95.3671542
Mankato,MN,44.1661456,-94.0055647
Stacy,MN,45.3980205,-92.9874404
Minnesota Lake,MN,43.8419036,-93.8318949
Waconia,MN,44.8504317,-93.7876429
Tracy,MN,44.2319444,-95.6227778
Waterville,MN,44.2177823,-93.566267
Cleveland,MN,44.3255219,-93.8377341
Clear Lake,MN,45.4466203,-93.9963128
Zumbro Falls,MN,44.2833001,-92.4221257
St. Cloud,MN,45.5579451,-94.1632404
Mayer,MN,44.8849625,-93.8877453
Montevideo,MN,44.9410447,-95.7236136
St. Michael,MN,45.209964,-93.6649642
Belle Plaine,MN,44.6230409,-93.7684042
Starbuck,MN,45.614405,-95.5311514
Monticello,MN,45.3055201,-93.7941378
Hastings,MN,44.7443293,-92.8513706
Osakis,MN,45.866908,-95.1522522
Wyoming,MN,45.3375,-92.9980556
Eden Prairie,MN,44.8546856,-93.470786
Clarks Grove,MN,43.763832,-93.3292623
Meire Grove,MN,45.6296872,-94.8691827
Dodge Center,MN,44.0274641,-92.8551933
Good Thunder,MN,44.0046863,-94.0657885
